 A(*, *)
 matr[           2 ,            5 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,            6 ] =                  (497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           2 ,            7 ] =                 (-497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           2 ,            8 ] =                  (497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           2 ,            9 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           10 ] =                 (-12.1212122963589219809867682744050500,0.00000000000000000000000000000000000)
 matr[           2 ,           11 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           12 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           13 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           14 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           15 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           16 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           17 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           18 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           19 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           20 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           21 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           22 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           23 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           24 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           25 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           26 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           27 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           28 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           29 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           30 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           31 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           32 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           33 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           34 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           35 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           36 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           37 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           38 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           39 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           2 ,           40 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,            1 ] =                 (-497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           3 ,            2 ] =                 (-497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           3 ,            3 ] =                  (7699287.90162184092553700964917199154,0.00000000000000000000000000000000000)
 matr[           3 ,            4 ] =                 (-994.641646712878687782568653717347584,0.00000000000000000000000000000000000)
 matr[           3 ,            5 ] =                 (-497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           3 ,            6 ] =                 (-497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           3 ,            7 ] =                  (994.641646712878687782568653717347584,0.00000000000000000000000000000000000)
 matr[           3 ,            8 ] =                 (-994.641646712878687782568653717347584,0.00000000000000000000000000000000000)
 matr[           3 ,            9 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           10 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           11 ] =                 (-12.1212122963589219809867682744050500,0.00000000000000000000000000000000000)
 matr[           3 ,           12 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           13 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           14 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           15 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           16 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           17 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           18 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           19 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           20 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           21 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           22 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           23 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           24 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           25 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           26 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           27 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           28 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           29 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           30 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           31 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           32 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           33 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           34 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           35 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           36 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           37 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           38 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           39 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           3 ,           40 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,            1 ] =                  (497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           4 ,            2 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,            3 ] =                 (-497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           4 ,            4 ] =                  (1109.93299242294059489221266827684007,0.00000000000000000000000000000000000)
 matr[           4 ,            5 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,            6 ] =                  (497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           4 ,            7 ] =                 (-497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           4 ,            8 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,            9 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           10 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           11 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           12 ] =                 (-12.1212122963589219809867682744050500,0.00000000000000000000000000000000000)
 matr[           4 ,           13 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           14 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           15 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           16 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           17 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           18 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           19 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           20 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           21 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           22 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           23 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           24 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           25 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           26 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           27 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           28 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           29 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           30 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           31 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           32 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           33 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           34 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           35 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           36 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           37 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           38 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           39 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           4 ,           40 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,            1 ] =                  (497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           5 ,            2 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,            3 ] =                 (-497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           5 ,            4 ] =                  (497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           5 ,            5 ] =                  (612.567034162682146487505470133078925,0.00000000000000000000000000000000000)
 matr[           5 ,            6 ] =                 (-103.124998509883880615234375000000000,0.00000000000000000000000000000000000)
 matr[           5 ,            7 ] =                 (-1805184.79474632435011049284682685848,0.00000000000000000000000000000000000)
 matr[           5 ,            8 ] =                  (497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           5 ,            9 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           10 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           11 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           12 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           13 ] =                 (-12.1212122963589219809867682744050500,0.00000000000000000000000000000000000)
 matr[           5 ,           14 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           15 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           16 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           17 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           18 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           19 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           20 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           21 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           22 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           23 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           24 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           25 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           26 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           27 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           28 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           29 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           30 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           31 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           32 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           33 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           34 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           35 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           36 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           37 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           38 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           39 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           5 ,           40 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,            1 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,            2 ] =                  (497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           6 ,            3 ] =                 (-497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           6 ,            4 ] =                  (497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           6 ,            5 ] =                 (-103.124998509883880615234375000000000,0.00000000000000000000000000000000000)
 matr[           6 ,            6 ] =                  (612.567034162682146487505470133078925,0.00000000000000000000000000000000000)
 matr[           6 ,            7 ] =                 (-1805184.79474632435011049284682685848,0.00000000000000000000000000000000000)
 matr[           6 ,            8 ] =                  (497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           6 ,            9 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           10 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           11 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           12 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           13 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           14 ] =                 (-12.1212122963589219809867682744050500,0.00000000000000000000000000000000000)
 matr[           6 ,           15 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           16 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           17 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           18 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           19 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           20 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           21 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           22 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           23 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           24 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           25 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           26 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           27 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           28 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           29 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           30 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           31 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           32 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           33 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           34 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           35 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           36 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           37 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           38 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           39 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           6 ,           40 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,            1 ] =                 (-497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           7 ,            2 ] =                 (-497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           7 ,            3 ] =                  (994.641646712878687782568653717347584,0.00000000000000000000000000000000000)
 matr[           7 ,            4 ] =                 (-994.641646712878687782568653717347584,0.00000000000000000000000000000000000)
 matr[           7 ,            5 ] =                 (-497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           7 ,            6 ] =                 (-497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           7 ,            7 ] =                  (7699287.90162184092553700964917199154,0.00000000000000000000000000000000000)
 matr[           7 ,            8 ] =                 (-994.641646712878687782568653717347584,0.00000000000000000000000000000000000)
 matr[           7 ,            9 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           10 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           11 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           12 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           13 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           14 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           15 ] =                 (-12.1212122963589219809867682744050500,0.00000000000000000000000000000000000)
 matr[           7 ,           16 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           17 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           18 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           19 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           20 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           21 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           22 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           23 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           24 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           25 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           26 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           27 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           28 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           29 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           30 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           31 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           32 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           33 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           34 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           35 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           36 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           37 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           38 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           39 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           7 ,           40 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           8 ,            1 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           8 ,            2 ] =                  (497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           8 ,            3 ] =                 (-497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
 matr[           8 ,            4 ] =                  (0.00000000000000000000000000000000000,0.00000000000000000000000000000000000)
 matr[           8 ,            5 ] =                  (497.320823356439343891284326858673792,0.00000000000000000000000000000000000)
